PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
0GC,01,2020,,0GCF20,Test Gold,1515.9,1515.9,,1515.9,,1515.9,,,0,10,,,,08/30/2019
A38,08,2019,,A38Q19,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.68667,-.00083,0,.68750,,25,08/30/2019
A38,09,2019,,A38U19,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.71000,UNCH,0,.71000,,25,08/30/2019
A38,10,2019,,A38V19,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.73000,UNCH,0,.73000,,10,08/30/2019
A38,11,2019,,A38X19,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.73000,UNCH,0,.73000,,10,08/30/2019
A38,12,2019,,A38Z19,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.73000,UNCH,0,.73000,,8,08/30/2019
AEP,08,2019,,AEPQ19,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,102.86,UNCH,0,102.86,,1207,08/30/2019
AEP,09,2019,,AEPU19,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,98.00,UNCH,0,98.00,,1238,08/30/2019
AEP,10,2019,,AEPV19,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,98.00,UNCH,0,98.00,185,958,08/30/2019
AEP,11,2019,,AEPX19,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,98.00,UNCH,0,98.00,125,723,08/30/2019
AEP,12,2019,,AEPZ19,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,98.00,UNCH,0,98.00,125,703,08/30/2019
AEP,01,2020,,AEPF20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,235,08/30/2019
AEP,02,2020,,AEPG20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,235,08/30/2019
AEP,03,2020,,AEPH20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,235,08/30/2019
AEP,04,2020,,AEPJ20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,235,08/30/2019
AEP,05,2020,,AEPK20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,238,08/30/2019
AEP,06,2020,,AEPM20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,245,08/30/2019
AEP,07,2020,,AEPN20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,276,08/30/2019
AEP,08,2020,,AEPQ20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,259,08/30/2019
AEP,09,2020,,AEPU20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,383,08/30/2019
AEP,10,2020,,AEPV20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,298,08/30/2019
AEP,11,2020,,AEPX20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,266,08/30/2019
AEP,12,2020,,AEPZ20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,100.00,UNCH,0,100.00,,369,08/30/2019
AEP,01,2021,,AEPF21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,268,08/30/2019
AEP,02,2021,,AEPG21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,303,08/30/2019
AEP,03,2021,,AEPH21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,292,08/30/2019
AEP,04,2021,,AEPJ21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,263,08/30/2019
AEP,05,2021,,AEPK21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,185,08/30/2019
AEP,06,2021,,AEPM21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,93,08/30/2019
AEP,07,2021,,AEPN21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,64,08/30/2019
AEP,08,2021,,AEPQ21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,1,08/30/2019
AEP,09,2021,,AEPU21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,24,08/30/2019
AEP,10,2021,,AEPV21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,23,08/30/2019
ALA,08,2019,,ALAQ19,Alumina Fob Australia (platts) Futures,,,,,,,,298.58,UNCH,0,298.58,,100,08/30/2019
ALA,09,2019,,ALAU19,Alumina Fob Australia (platts) Futures,,,,,,,,360.00,UNCH,0,360.00,,100,08/30/2019
ALA,10,2019,,ALAV19,Alumina Fob Australia (platts) Futures,,,,,,,,300.00,UNCH,0,300.00,,65,08/30/2019
ALA,11,2019,,ALAX19,Alumina Fob Australia (platts) Futures,,,,,,,,300.00,UNCH,0,300.00,,65,08/30/2019
ALA,12,2019,,ALAZ19,Alumina Fob Australia (platts) Futures,,,,,,,,300.00,UNCH,0,300.00,,65,08/30/2019
ALI,09,2019,,ALIU19,Physical Aluminum Futures,,,,,,,,1758.00,-1.00,0,1759.00,,76,08/30/2019
ALI,10,2019,,ALIV19,Physical Aluminum Futures,,,,,,,,1758.00,-1.00,0,1759.00,,142,08/30/2019
ALI,11,2019,,ALIX19,Physical Aluminum Futures,1755.50,1765.50,B,1748.00,A,1764.50,B,1762.50,-1.00,25,1763.50,58,44,08/30/2019
ALI,12,2019,,ALIZ19,Physical Aluminum Futures,,,,,,,,1766.75,-1.00,0,1767.75,,7,08/30/2019
ALI,01,2020,,ALIF20,Physical Aluminum Futures,,,,,,,,1770.75,-1.00,0,1771.75,,7,08/30/2019
ALI,02,2020,,ALIG20,Physical Aluminum Futures,,,,,,,,1770.75,-1.00,0,1771.75,,,08/30/2019
ALI,03,2020,,ALIH20,Physical Aluminum Futures,,,,,,,,1770.75,-1.00,0,1771.75,,,08/30/2019
ALI,04,2020,,ALIJ20,Physical Aluminum Futures,,,,,,,,1770.75,-1.00,0,1771.75,,,08/30/2019
ALI,05,2020,,ALIK20,Physical Aluminum Futures,,,,,,,,1770.75,-1.00,0,1771.75,,,08/30/2019
ALI,06,2020,,ALIM20,Physical Aluminum Futures,,,,,,,,1790.00,-1.00,0,1791.00,,,08/30/2019
ALI,07,2020,,ALIN20,Physical Aluminum Futures,,,,,,,,1790.00,-1.00,0,1791.00,,,08/30/2019
ALI,08,2020,,ALIQ20,Physical Aluminum Futures,,,,,,,,1790.00,-1.00,0,1791.00,,,08/30/2019
ALI,09,2020,,ALIU20,Physical Aluminum Futures,,,,,,,,1790.00,-1.00,0,1791.00,,,08/30/2019
